"","title","ratingsCount","numPages","avgRating","year_publication"
"403","Stargirl",318375,186,3.77,2000
"404","Midnight's Children",116851,647,3.98,1981
"405","Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values",220619,540,3.78,1974
"406","Dr. Jekyll and Mr. Hyde",511693,139,3.83,1886
"407","Dear John",582618,276,4.04,2006
"408","The Firm",608829,76,4.05,1991
"409","The English Patient",126234,320,3.87,1992
"410","War and Peace",306300,1392,4.15,1869
"411","The Last Song",540754,390,4.16,2008
"412","The BFG",451383,199,4.22,1982
"413","The Amber Spyglass",342331,465,4.1,2000
"414","Room",777584,321,4.07,2010
"415","Doctor Zhivago",92191,592,4.01,1957
"416","The Grapes of Wrath",854777,479,4,1939
"417","City of Heavenly Fire",357149,725,4.4,2014
"418","It Ends with Us",2167844,386,4.3,2016
"419","The House of Hades",359078,597,4.56,2013
"420","Crescendo",310769,427,3.99,2010
"421","The Plague",231615,308,4.02,1947
"422","My Ántonia",131045,232,3.82,1918
"423","Like Water for Chocolate",351486,222,3.95,1989
"424","The Remains of the Day",267071,258,4.14,1989
"425","Breakfast of Champions",247308,303,4.07,1973
"426","Dragonfly in Amber",333045,947,4.33,1992
"427","Flowers in the Attic",194848,389,3.84,1979
"428","Breakfast at Tiffany's and Three Stories",246759,142,3.86,1958
"429","Heir of Fire",516838,565,4.46,2014
"430","The Origin of Species",109825,703,4,1859
"431","Midnight in the Garden of Good and Evil",254372,386,3.92,1994
"432","A Fine Balance",142558,603,4.37,1995
"433","The Subtle Knife",416036,370,4.14,1997
"434","A Streetcar Named Desire",293866,107,3.98,1947
"435","The Prince",310372,140,3.83,1513
"436","Hopeless",426413,410,4.28,2012
"437","Daughter of Smoke & Bone",354706,418,4,2011
"438","Death of a Salesman",217801,117,3.56,1949
"439","Miss Peregrine's Home for Peculiar Children",1182507,352,3.92,2011
"440","Infinite Jest",85932,1088,4.26,1996
"441","Unbroken: A World War II Story of Survival, Resilience and Redemption",888667,475,4.37,2010
"442","Evermore",283440,301,3.59,2009
"443","Blood Meridian, or the Evening Redness in the West",134079,351,4.16,1985
"444","A Feast for Crows",692434,1061,4.15,2005
"445","Crown of Midnight",603364,420,4.36,2013
"446","Snow Flower and the Secret Fan",362145,288,4.08,2005
"447","Jonathan Strange & Mr Norrell",224789,1006,3.85,2004
"448","The One",603431,323,4.17,2014
"449","Pippi Longstocking",189430,160,4.15,1945
"450","Anna and the French Kiss",435884,372,3.98,2010
"451","The Virgin Suicides",282446,250,3.83,1993
"452","Matched",742697,369,3.63,2010
"453","The Scarlet Pimpernel",131235,182,4.07,1905
"454","The Angel Experiment",219040,445,4.07,2005
"455","Faust, First Part",70505,327,3.88,1808
"456","High Fidelity",192011,340,3.92,1995
"457","Artemis Fowl",534127,396,3.86,2001
"458","The Shipping News",140742,337,3.87,1993
"459","Carrie",649919,253,3.98,1974
"460","Coraline",617706,176,4.1,2002
"461","The Host",971854,624,3.85,2008
"462","Red Queen",875123,388,4.02,2015
"463","The Chosen",90428,304,4.06,1966
"464","Houdini Heart",5686,254,3.82,2011
"465","The Tales of Beedle the Bard",466577,105,4.05,2008
"466","All the Bright Places",498358,378,4.14,2015
"467","I Know Why the Caged Bird Sings",494308,289,4.28,1969
"468","The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",631041,447,4,2003
"469","Shantaram",198998,936,4.27,2003
"470","Waiting for Godot",187589,109,3.84,1952
"471","Nineteen Minutes",343844,440,4.15,2007
"472","Northanger Abbey",366613,260,3.84,1817
"473","The Reader",196496,216,3.77,1995
"474","Pet Sematary",531905,580,4.04,1983
"475","Redeeming Love",286036,479,4.5,1991
"476","To the Lighthouse",164208,209,3.8,1927
"477","The Age of Innocence",161318,293,3.96,1920
"478","Neuromancer",304052,292,3.9,1984
"479","The Voyage of the Dawn Treader",443769,248,4.09,1952
"480","Ignite Me",308345,421,4.46,2014
"481","The Lost Symbol",582257,509,3.74,2009
"482","Dubliners",143673,207,3.85,1914
"483","The Waste Land",50449,320,4.1,1922
"484","I, Robot",324397,224,4.21,1950
"485","The Exorcist",215255,385,4.19,1971
"486","The Cruel Prince",832965,370,4.08,2018
"487","We Were Liars",987280,242,3.71,2014
"488","Betrayed",258470,310,3.92,2007
"489","Lover Awakened",174607,434,4.44,2006
"490","A Dance with Dragons",617293,1125,4.33,2011
"491","Persuasion",641104,249,4.15,1817
"492","The Pearl",219318,96,3.51,1945
"493","Divine Secrets of the Ya-Ya Sisterhood",547108,383,3.85,1996
"494","A Little Life",426228,720,4.34,2015
"495","The Twilight Collection",45631,1690,3.81,2007
"496","The Jungle",139183,335,3.76,1905
"497","Voyager",290686,870,4.39,1993
"498","Untamed",228763,338,3.94,2008
"499","Queen of Shadows",450808,648,4.56,2015
"500","Everything is Illuminated",175232,276,3.89,2002
"501","I, Claudius",62767,468,4.24,1934
"502","The Republic",192422,416,3.96,-375
"503","The Return of the King",815268,385,4.55,1955
"504","Me Talk Pretty One Day",676754,272,4,2000
"505","The Last Battle",257353,288,4.01,1956
"506","A Room with a View",172618,119,3.9,1908
"507","The 5th Wave",438529,457,4.02,2013
"508","Snow Falling on Cedars",180705,460,3.85,1994
"509","Bleak House",105055,1017,4.01,1853
"510","Chosen",236669,307,3.91,2008
"511","City of Glass",914519,541,4.29,2009
"512","The Elephant Tree",26575,252,3.69,2010
"513","Of Human Bondage",54303,684,4.13,1915
"514","A Christmas Carol",769368,104,4.07,1843
"515","The God Delusion",258083,374,3.9,2006
"516","The Hate U Give",794019,454,4.49,2017
"517","The Complete Poems of Emily Dickinson",91082,716,4.26,1890
"518","The War of the Worlds",290636,192,3.83,1897
"519","North and South",160831,521,4.15,1854
"520","Angels & Demons",3046674,736,3.93,2000
"521","World War Z: An Oral History of the Zombie War",496843,342,4.02,2006
"522","The Goldfinch",852839,864,3.93,2013
"523","The Elite",678333,336,3.96,2013
"524","Brideshead Revisited",104813,351,4.01,1945
"525","Bloodlines",181212,432,4.2,2011
"526","A Discovery of Witches",455171,579,4.02,2011
"527","The Iron King",207447,363,3.88,2010
"528","The Raven Boys",339837,409,4.05,2012
"529","Snow Crash",265323,559,4.03,1992
"530","The Witching Hour",111260,1207,4.11,1990
"531","Wizard's First Rule",241188,836,4.12,1994
"532","The Woman in White",146192,672,4,1859
"533","Unwind",215774,337,4.17,2007
"534","Vanity Fair",124555,867,3.8,1847
"535","Where the Crawdads Sing",2395168,384,4.42,2018
"536","2001: A Space Odyssey",295800,297,4.16,1968
"537","Cry, the Beloved Country",71943,316,3.91,1948
"538","Johnny Got His Gun",40518,309,4.19,1939
"539","Torment",227736,452,3.85,2010
"540","Bared to You",505732,352,4.16,2012
"541","A Great and Terrible Beauty",218914,403,3.79,2003
"542","Cannery Row",128051,181,4.05,1945
"543","The Two Towers",872700,447,4.47,1954
"544","The Bad Beginning",483573,176,3.99,1999
"545","Red, White & Royal Blue",680367,448,4.13,2019
"546","Night",1153302,115,4.36,1956
"547","Chocolat",121693,306,3.96,1999
"548","The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass",67488,1520,4.55,2009
"549","Are You My Mother?",235318,64,4.2,1960
"550","Halfway to the Grave",152533,358,4.14,2007
"551","The Summoning",167789,390,4.02,2008
"552","Perfect Chemistry",256274,368,4.05,2008
"553","Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time",340922,349,3.66,2006
"554","The Polar Express",232677,32,4.31,1985
"555","Sense and Sensibility",1115877,409,4.08,1811
